Company,% Change
Indian Acrylics,+20.00
Pasupati Acrylon,+19.91
Vidli Restaurants Lt,+19.12
Responsive Industrie,+16.60
Victoria Mills,+14.60
HB Portfolio,+14.41
Gensol Engineering,+14.38
Technocraft Industri,+14.28
Radhe Developers,+14.11
Pondy Oxides & C,+11.39
Radhika Jeweltech,+11.29
Alufluoride Ltd.,+11.19
IIFL Finance,+10.43
Chembond Chemica,+10.12
Guj. Themis Bios,+9.98
Dhanvarsha Finvest,+9.98
Rapicut Carbides,+9.94
Riba Textiles Li,+9.92
Polyspin Exports,+9.91
Alicon Castalloy,+9.88
Prime Property Devel,+9.86
Zenlabs Ethica,+9.82
Radhey Trade Holding,+9.72
Mystic Electronics,+9.61
Sarup Industries,+9.48
Adani Green Energy,+9.44
Loyal Textiles M,+9.38
Keynote Financial,+9.03
Fervent Synergies L,+8.80
Goblin India,+8.76
Kwality Pharmaceutic,+8.46
Swastika Investmart,+8.34
NCL Industries,+8.31
Satin Creditcare,+8.25
Thirumalai Chem.,+8.11
National Plastic,+8.03
Gujarat Fluorochem,+7.96
Neuland Laborat,+7.93
Nile,+7.81
Biocon,+7.81
BNK Capital Mark,+7.64
United Drilling Tool,+7.57
Space Incubatrics,+7.50
Uni Abex Alloys,+7.41
Ipca Laboratorie,+7.34
Advanced Enzyme Tech,+7.33
GSS Infotech,+7.27
PVR Ltd.,+7.25
Suven Pharmaceutical,+7.14
NHC Foods,+7.09
Country Condo's,+7.09
Ausom Enterprise,+6.94
Artefact Projects Lt,+6.91
Solitaire Machin,+6.91
Rasi Electrodes,+6.91
Schneider Electric,+6.91
Balaji Amines Li,+6.89
Redington (India) Lt,+6.80
Advani Hotels,+6.64
Divya Shakthi Gr,+6.59
Bhagiradha Chemi,+6.57
Ruttonsha Intl.,+6.53
Ram Info,+6.43
Piccadily Agro I,+6.43
Bharti Airtel,+6.38
Arihant Capital,+6.34
Jindal St & Pwr,+6.31
JSW Steel,+6.24
SBC Exports,+6.17
Trejhara Solutions L,+6.07
Hester Biosciences L,+6.06
High Energy Bat.,+6.04
Wonderla Holidays Lt,+6.03
Dwarikesh Sugar,+5.96
Shree Steel Wire,+5.95
Pacific Industri,+5.93
Kamat Hotels (In,+5.81
Jindal Stainless,+5.68
Sika Interplant,+5.57
Jindal Stainless (Hi,+5.56
Kirloskar Pneumatic,+5.52
Garnet Construct,+5.52
Dhabriya Polywood,+5.45
Essel Propack Ltd.,+5.43
Anisha Impex Ltd.,+5.41
Vikram Thermo (I,+5.36
Sakthi Finance,+5.31
Balrampur Chini,+5.30
Phillips Carbon,+5.27
Quadrant Televenture,+5.26
Cosyn L,+5.26
Shree Rama Newsprint,+5.19
Anjani Portland,+5.17
Aavas Financiers,+5.15
CL Educate,+5.15
Bliss GVS Pharma,+5.12
Birlasoft,+5.10
T & I Global Lim,+5.05
Adani Transmission L,+5.05
Nucleus Software,+5.04
Elpro Internl.,+5.01
Emerald Leasing Fin,+5.00
Ekam Leasing & F,+5.00
Sumeru Industries Lt,+5.00
Punj. Communica,+5.00
Alka India Ltd.,+5.00
JSL Industries,+5.00
Kaira Can Co.,+5.00
I G Petrochemicals,+5.00
Anjani Synthetic,+5.00
Rainbow Foundati,+5.00
Sun Techno Overseas,+5.00
ARC Finance,+5.00
Sharp Investments,+5.00
Metkore Alloys & Ind,+5.00
Hotel Rugby Limi,+5.00
Creative Eye,+5.00
Vadilal Enterprises,+5.00
Dutron Polymers,+5.00
Kanishk Steel In,+5.00
Guj. Containers,+5.00
Chandrima Mercantile,+5.00
Simplex Realty,+4.99
Duke Offshore Lt,+4.99
Pharmaids Pharma,+4.99
Chandni Machines,+4.99
Classic Leasing,+4.99
Axtel Industries,+4.99
Union Quality Pl,+4.98
Real Strips,+4.98
Xtglobal Infotech,+4.98
Butterfly Gandhima,+4.98
Veejay Lakshmi E,+4.98
GTN Industries,+4.98
Future Consumer,+4.98
Praxis Home Retail L,+4.98
Steelco Gujarat,+4.98
Future Supply Chain,+4.98
Guj. Raffia Indu,+4.98
Vista Pharmaceut,+4.97
Polymechplast Ma,+4.97
Thomas Scott (India),+4.97
OCL Iron & Steel,+4.97
Upsurge Investme,+4.97
Kellton Tech Solutio,+4.97
Vishvprabha Ventures,+4.97
Fundviser Capital,+4.96
Global Offshore Ser,+4.96
Garware Syntheti,+4.96
Sindhu Trade Links,+4.96
Fiberweb (India),+4.96
Megri Soft,+4.96
N K Industries L,+4.96
GVK Power & Infrastr,+4.96
NMS Resources Global,+4.96
Sandu Pharmaceut,+4.95
Genesys Int.Corp.,+4.95
Palsoft Infosys,+4.95
Prag Bosimi Syn.,+4.95
Sayaji Industries,+4.95
Ankit Metal & Power,+4.95
Sportking India,+4.95
Standard Batteri,+4.95
Fraser & Company,+4.95
Gulshan Polyols Ltd.,+4.95
Modipon,+4.94
KPI Global Infra,+4.94
Mercantile Ventures,+4.94
A Infrastructure,+4.94
Yash Man.&Satlt.,+4.94
PTC India Financial,+4.94
Catvision Ltd.,+4.93
Flexituff Ventures,+4.93
Hind. Food,+4.93
Chemo Pharma Lab,+4.93
DCM Shriram In,+4.93
Infra Industries,+4.92
Hardwyn India,+4.92
Arihant Superstructu,+4.92
Garg Furnace Lim,+4.92
Aditya Spinners,+4.92
Pranavaditya Spi,+4.92
Kore Foods,+4.92
SBEC Sugar Lt,+4.92
Simran Farms Lim,+4.92
Inani Marbles &,+4.92
