Company,% Change
Benara Bearings,-20.0
Bothra Metals & Allo,-14.0
Dhruv Consultancy,-13.33
Vodafone Idea L,-12.76
Yug Decor,-12.5
Caprihans India,-11.19
La Tim Metal & Ind,-10.0
Future Retail L,-9.98
Odyssey Technolo,-9.95
Thomas Cook (I),-9.94
Filtra Consultants &,-9.93
Reliable Ventures In,-9.9
U Y Fincorp,-9.68
Nikhil Adhesives,-9.24
Shiva Global Agro,-9.15
Mahindra Lifespace D,-8.85
Anupam Finserv,-8.83
Sadbhav Infrastructu,-8.74
WEP Solutions,-8.69
Intl. Coveyors,-8.67
East West Holdings,-8.4
Hindusthan Urban Inf,-8.35
Danlaw Technologies,-8.05
Mahalaxmi Rubtec,-8.05
Zen Technologies Ltd,-8.03
TCNS Clothing,-8.01
Anuroop Packaging Lt,-7.93
GPT Infraprojects,-7.87
Vamshi Rubber Li,-7.5
Asahi Songwon Colors,-7.38
Commercial Engineers,-7.24
J L Morison (India),-7.11
Mitshi India L,-7.02
NRB Bearings Lim,-6.64
Choksi Lab. Ltd,-6.54
Indostar Capital Fin,-6.51
Generic Engineering,-6.49
Vivo Bio Tech Ltd.,-6.43
Themis Medicare Ltd.,-6.38
Gujarat Narmada Vall,-6.31
Mahip Industries,-6.18
Capital India Fin,-6.12
Shree Ganesh Remedie,-6.11
LKP Securities,-6.02
GTPL Hathway,-6.0
Precision Camshafts,-5.87
SAL Automotive,-5.86
Jindal Poly Films,-5.86
Sagar Productions,-5.84
Pritish Nandy Comm.,-5.84
Mold-Tek Technologi.,-5.76
Magna Electrocas,-5.73
Hariyana Ship-Br,-5.72
National Plywood Ind,-5.61
Surana Telecom and P,-5.54
Sundaram Finance,-5.45
Jost's Engg.,-5.3
Spandana Sphoorty Fi,-5.29
Himalaya Food Inter,-5.26
RTS Power Corpor,-5.23
Mitsu Chem Plast,-5.21
GeeCee Ventures,-5.18
Talbros Engineering,-5.08
Arfin India,-5.05
Acknit Industries Lt,-5.05
Ritesh Properties &,-5.0
Shriram A M C,-5.0
Arex Industries Ltd.,-5.0
Standard Indust,-5.0
Aryaman Financia,-5.0
Coral Newsprints,-5.0
Vallabh Poly-Pla,-5.0
H P Cotton Textiles,-5.0
Shreyas Intermed,-5.0
Kimia Biosciences,-5.0
Kamanwala Housing Co,-5.0
Jindal Hotels,-5.0
Dynamatic Techno,-5.0
Trigyn Technolog,-5.0
Loyal Equipments Ltd,-5.0
HB Stockholding,-5.0
Mangalam Drugs,-5.0
Madhav Infra Project,-5.0
Gravity (India),-5.0
5Paisa Capital,-5.0
K&R Rail Engineering,-5.0
Golkonda Aluminium,-5.0
Aanchal Ispat Ltd.,-5.0
Crest Ventures,-5.0
Amines & Plast.,-5.0
Ishaan Infrastru,-5.0
IMP Powers,-5.0
Guj. Distillers,-5.0
The Yamuna Syndicate,-5.0
CeejayFinance,-4.99
Kiran Print Pack,-4.99
Ad-Manum Finance,-4.99
Tirupati Starch,-4.99
Max India,-4.99
Fomento Resorts,-4.99
Scooters India,-4.99
Tanla Solutions,-4.99
VIP Clothing,-4.99
Vama Industries Ltd.,-4.99
Reliance Naval,-4.99
Cochin Malabar,-4.99
Digicontent,-4.99
Aarti Surfactants,-4.99
Repco Home Finance L,-4.99
Taneja Aerospace,-4.99
SAR Auto Products,-4.99
Gagan Gases Limi,-4.99
A2Z Infra Engineer,-4.99
Xelpmoc Design and T,-4.99
Optiemus Infracom,-4.99
CG Power and Indust,-4.98
Technofab Engineerin,-4.98
Milestone Global,-4.98
Peninsula Land L,-4.98
MSR India,-4.98
BDH Industries,-4.98
Titan Biotech Ltd.,-4.98
Ruchira Papers Ltd.,-4.98
Bhilwara Technical,-4.98
Acrow India,-4.98
Som Distilleries,-4.98
Ashnoor Textile,-4.98
Transchem L,-4.98
Aarey Drugs & Ph,-4.98
Pee Cee Cosma,-4.98
Brahmaputra Infra,-4.98
Phoenix Township,-4.98
Ceinsys Tech,-4.98
NDR Auto Components,-4.98
Jyoti Resins & A,-4.98
Ashoka Refinerie,-4.97
Sabrimala Industries,-4.97
Cybele Industries Lt,-4.97
Shivam Autotech Ltd.,-4.97
WelspunInvestments,-4.97
Alpa Laboratories Lt,-4.97
Gujarat Metallic,-4.97
Swelect Energy Syste,-4.97
KIOCL,-4.97
Chaman Lal Setia,-4.97
Brightcom Group,-4.97
Machino Plastics,-4.97
PCS Technology,-4.97
OnMobile Global Ltd.,-4.97
Aksh Optifibre,-4.97
Dharani Finance,-4.97
DiGiSPICE Technologi,-4.97
Roxy Exports,-4.97
Ashapura Min. Lt,-4.97
Elegant Marbles,-4.96
Anik Industries,-4.96
Mukand Engineers,-4.96
Goldstone Tech,-4.96
Aurionpro Solutions,-4.96
Rana Sugars,-4.96
Subex Ltd.,-4.96
Jetking Infotrain Lt,-4.96
Omkar Speciality Che,-4.96
Modulex Construction,-4.96
Shreyas Shipping & L,-4.96
Opto Circuits India,-4.96
Ruchi Infrastructure,-4.96
Alchemist,-4.96
BLS International Se,-4.96
Ashok Alco-Chem,-4.96
Steel ExchangeIndia,-4.96
Natural Capsules,-4.96
Dish TV India Ltd.,-4.96
Walchandnagar,-4.95
Future Enterprises,-4.95
Makers Lab.,-4.95
Sunshield Chemic,-4.95
SORIL Infra Resource,-4.95
Hi-Tech Winding Sys,-4.95
Variman Global Enter,-4.95
ACCEL L,-4.95
GlobalSpace Techno,-4.95
Narayani Steels,-4.95
MEP Infrastructure,-4.95
Autolite (I),-4.95
Emami Realty,-4.95
BKM Industries,-4.95
Chemtech Industrial,-4.95
Patspin India,-4.95
Intrasoft Technologi,-4.95
White Organic Agro,-4.95
HOV Services Ltd.,-4.95
Ganesh Housing,-4.95
Setco Automotive,-4.95
JaiprakashAssociates,-4.95
Omax Auto,-4.95
Sintex Plastics Tech,-4.94
SPS Internationa,-4.94
Biofil Chemicals,-4.94
Emmessar Biotech,-4.94
Arshiya,-4.94
Genus Prime Infra Lt,-4.94
Ambition Mica,-4.94
Lasa Supergenerics,-4.94
Advance Syntex,-4.94
