Company,% Change
Kaushalya Infrastruc,+173.40
Optiemus Infracom,+162.00
Source Natural Foods,+160.36
Axtel Industries,+142.98
Regency Investments,+137.73
CG Power and Indust,+130.73
Mangalam Drugs,+116.51
Amaze Entertech,+115.63
Tirupati Tyres,+110.75
Toyam Industries,+109.80
HDIL,+109.06
GBL Industries,+108.42
Janus Corporation,+108.08
GayatriSugars,+104.17
Aarti Surfactants,+103.81
Hindustan Bio Scienc,+102.67
Standard Surfact,+102.43
Global Offshore Ser,+102.22
Softsol India,+99.83
Vivimed Labs,+96.26
Lancer Container Lin,+94.85
Transglobe Foods,+93.96
Maris Spinners L,+93.81
Pooja Entertainment,+93.00
Vikas Multicorp,+92.65
Aarey Drugs & Ph,+91.90
ARC Finance,+90.91
Skyline Millars,+89.80
Omkar Speciality Che,+89.62
Bhagawati Oxygen,+89.48
Titan Biotech Ltd.,+88.35
Dhanvarsha Finvest,+86.85
Orient Tradelink,+86.51
Anjani Foods,+85.02
Tanla Solutions,+84.66
PremierLtd.,+84.42
Genesys Int.Corp.,+84.20
Godawari Power & Isp,+83.52
Saras.Commercial,+83.09
CG-VAK Software,+82.20
Vikram Thermo (I,+81.72
National Steel and A,+81.16
Supremex Shine Steel,+79.69
Roxy Exports,+79.54
Kachchh Minerals Ltd,+78.66
Apollo Finvest,+77.94
McLeod Russel,+76.75
Phaarmasia Ltd.,+76.32
Indbank Merchant,+74.89
G S Auto Interna,+74.60
GTV Engineering,+74.11
ASM Technologies Ltd,+73.07
Expleo Solutions,+72.80
Simran Farms Lim,+72.66
Nxtdigital L,+72.59
Nucleus Software,+72.15
Pratiksha Chemic,+71.43
TGB Banquets,+71.25
Choksi Imaging,+70.83
Ramco Systems Lt,+70.29
Trigyn Technolog,+69.81
Vivid Global Industr,+69.43
Indiabulls Ventures,+69.40
Pasari Spinning,+68.60
Natural Capsules,+68.23
Butterfly Gandhima,+67.52
Shangar Decor,+67.51
Bombay Rayon Fashion,+66.67
Emco Ltd.,+65.05
California Softw,+64.71
Rap Media,+63.23
DFM Foods Limi,+62.77
Prince Pipes & Fitti,+62.68
Ramkrishna Forgings,+62.35
Gajra Bevel Gear,+61.90
Jayshree Chem.,+61.71
S R Industries L,+61.63
Axon Ventures,+61.54
Va Tech Wabag Ltd.,+61.52
Adani Enterprises Lt,+61.21
PCS Technology,+61.14
Ashapura Min. Lt,+60.75
Aarti Drugs Ltd,+60.67
GVK Power & Infrastr,+60.00
Somi Conveyor Beltin,+59.87
Danlaw Technologies,+59.53
Sarda Energy & Miner,+59.18
Ceinsys Tech,+58.87
Paul Merchants,+58.83
Rollatainers Ltd,+58.82
India Finsec Ltd.,+58.54
Vijay Textiles L,+58.35
Rossell India,+58.18
AvanceTechnologies,+57.58
Affle (India),+56.96
PTC Industries,+56.88
Indsil Hydro Power a,+56.86
Emerald Leasing Fin,+56.77
Rainbow Foundati,+56.34
Creative Eye,+56.08
Kellton Tech Solutio,+55.95
Sika Interplant,+55.87
Ritesh Internati,+55.45
