Company,% Change
Eicher Motors,-89.68
Madhav Infra Project,-79.26
Trident Texofab,-63.33
Leading Leasing Fin,-52.62
Netripples Software,-48.68
UTL Industries,-47.12
Morganite Crucible (,-41.91
Caprolactam Chemical,-37.37
Panth Infinity,-35.2
Anupam Finserv,-34.43
Hathway Bhawani Cabl,-34.39
Ballarpur Ind.,-34.3
Katare Spg. Mill,-33.04
Darshan Orna,-32.92
Radhagobind Commerci,-30.75
A & M Febcon,-30.57
Ratnabhumi Developer,-30.23
Nyssa Corporation,-29.79
Corp.Couriers&Cargo,-29.57
Reliance Com,-29.49
Variman Global Enter,-29.26
Ishaan Infrastru,-29.09
Vas Infrastructure L,-28.8
Radaan Mediaworks(I),-28.57
Himachal Fibres,-27.71
SAR Auto Products,-27.59
Five X Tradecom,-26.92
Dhruv Estates Lt,-26.41
Ruchi Infrastructure,-25.98
Sainik Finance & Ind,-25.48
Shri Niwas Leasing,-25.27
Shivansh Finserve,-25.0
K&R Rail Engineering,-24.72
North Eastern Carry,-24.03
G V Films,-23.26
Devhari Exports,-23.02
PVV Infra,-23.0
Sai Baba Investment,-22.84
U Y Fincorp,-22.76
Agio Paper & Industr,-22.46
Hi-Tech Winding Sys,-22.06
Viji Finance,-22.06
Twinstar Industries,-22.0
Rodium Realty L,-21.48
Harish Textile Engin,-21.35
Empower India,-21.05
Intl. Combustion,-20.83
Unitech Ltd.,-20.67
Sanghvi Brands,-20.51
Modulex Construction,-20.04
Glittek Granites,-20.0
BKM Industries,-20.0
Greencrest Financial,-19.67
Salasar Techno Engin,-19.48
Velan Hotels Lim,-18.8
Cybele Industries Lt,-18.75
Sarup Industries,-18.7
Jay Ushin Ltd.,-18.54
Ritco Logistics,-18.24
Kanani Industries Lt,-17.63
Sita Enterprises,-17.35
Sanwaria Consumer,-16.99
Ujaas Energy,-16.96
Ramchandra Leasing,-16.67
Amba Enterprises,-16.58
Darjeeling Ropeway,-16.49
HB Stockholding,-16.23
Sumeru Industries Lt,-16.0
Lesha Industries,-16.0
Setubandhan Infra,-16.0
Hinduja Global Solut,-15.97
Cella Space Ltd.,-15.85
Omaxe Ltd.,-15.74
Northern Spirits,-15.56
Mega Corporation,-15.56
Suzlon Energy Ltd.,-15.51
Gufic BioSciences Lt,-15.44
Welcon International,-15.38
Bonlon Industries,-15.29
Jenburkt Pharmac,-15.26
Pharmaids Pharma,-15.21
Kamadgiri Fashion,-15.2
Vegetable Products,-15.03
