Company,% Change
Dhanvarsha Finvest,+36.84
Polyspin Exports,+33.19
Vitesse Agro L,+28.89
Rainbow Foundati,+27.44
Anubhav Infrastructu,+27.38
Real Strips,+27.35
Global Offshore Ser,+27.27
Kellton Tech Solutio,+27.18
Simran Farms Lim,+26.98
Xtglobal Infotech,+26.96
Avon Lifesciences L,+26.94
A Infrastructure,+26.90
Vallabh Steel Lt,+26.61
Kaushalya Infrastruc,+26.60
PremierLtd.,+26.55
W S Industries,+26.41
Supremex Shine Steel,+26.37
Toyam Industries,+26.29
Shree Karthik Pa,+26.02
Inani Marbles &,+25.80
Euro Ceramics Ltd.,+25.74
Garware Syntheti,+25.42
California Softw,+25.14
Bombay Rayon Fashion,+25.10
Wendt India,+25.00
G S Auto Interna,+24.72
Ankit Metal & Power,+24.71
Zenith Steel Pipes,+24.69
Pharmaids Pharma,+24.67
Saras.Commercial,+23.96
OK Play India Ltd.,+23.81
Kachchh Minerals Ltd,+23.77
GayatriSugars,+23.74
Kushal L,+23.65
Victory Paper &,+23.13
Emerald Leasing Fin,+22.69
Future Retail L,+22.52
White Organic Agro,+22.16
India Finsec Ltd.,+22.05
Future Consumer,+21.63
Ahm. Steelcraft,+21.44
Flexituff Ventures,+21.33
Padmanabh Industries,+21.28
Chemo Pharma Lab,+21.27
Chandrima Mercantile,+21.15
B2B Soft.Tech.Ltd.,+21.13
Rap Media,+21.07
Shah Alloys,+21.00
Creative Eye,+20.94
Arihant Superstructu,+20.86
Mehta Integrated,+20.83
Yash Man.&Satlt.,+20.74
Pratiksha Chemic,+20.70
Biopac India,+20.65
Atharv Enterprises,+20.55
Yashraj Containeurs,+20.37
SEL Manufacturing Co,+20.00
GTV Engineering,+19.82
Diamond Power Infras,+19.23
Shree Rama Multi,+19.15
National Steel and A,+19.05
Indsil Hydro Power a,+18.94
Madhucon Project,+18.77
Parvati Sweetners,+18.66
Sical Logistics,+18.09
Lancer Container Lin,+17.82
NHC Foods,+17.80
IndusInd Bank,+17.66
VBC Ferro Allo,+17.58
Orient Tradelink,+17.50
Source Natural Foods,+17.17
Amaze Entertech,+16.89
Adani Green Energy,+16.85
Maxgrow India,+16.77
LancorHoldings Ltd,+16.76
ARC Finance,+16.67
KPT Industries,+16.63
Waa Solar,+16.50
Jayshree Chem.,+16.46
Kallam Textiles,+16.36
Shiva Granito Export,+16.33
Polylink Polymer,+16.14
Hindustan Bio Scienc,+16.03
Sindhu Trade Links,+16.00
Future Market Net,+15.54
Terrascope Ventures,+15.52
Vadilal Enterprises,+15.46
Future Lifestyle,+15.44
Indian Terrain Fashi,+15.43
CG Power and Indust,+15.43
Ceinsys Tech,+15.39
Ganga Papers India L,+15.32
AGI Infra Ltd.,+15.32
Zee Media Corp,+15.32
Optiemus Infracom,+15.29
Organic Coatings,+15.25
NMS Resources Global,+15.20
HDIL,+15.16
Mega Corporation,+15.15
Mangalam Industrial,+15.15
Wallfort Financi,+15.15
Future Enterprises,+15.14
GVK Power & Infrastr,+15.02
Novateor Research,+15.00
Emkay Global Financi,+14.95
Gulshan Polyols Ltd.,+14.86
IIFL Finance,+14.69
CreditAccess Grameen,+14.62
Reliance Naval,+14.61
Sejal Glass,+14.50
Skyline Millars,+14.42
SAB Events & Governa,+14.40
Landmark Property De,+14.29
Saptarishi Agro,+14.27
United Drilling Tool,+14.22
Melstar Inform.,+14.18
Anuroop Packaging Lt,+14.17
BLB Ltd.,+14.15
Prima Agro Ltd.,+14.12
HB Estate Devlpr,+14.12
Responsive Industrie,+14.11
Prime Urban Dev.,+14.07
Shanthi Gears,+14.03
Pankaj Piyush Trade,+14.03
Technofab Engineerin,+14.01
Neueon Towers,+13.85
Goenka Business,+13.74
RCI Industries & Tec,+13.69
Vista Pharmaceut,+13.67
Brahmaputra Infra,+13.49
Bharat Wire Ropes Lt,+13.35
Tata Motors Ltd.,+13.18
Rollatainers Ltd,+13.17
HB Portfolio,+13.13
Vision Cinemas L,+13.11
Mystic Electronics,+13.06
Garg Furnace Lim,+13.06
POCL Enterprises,+13.02
Tirupati Tyres,+12.97
Kaira Can Co.,+12.75
Akme Star Housing,+12.52
Royal India Corp,+12.50
Centrum Capital,+12.47
Future Supply Chain,+12.46
AK Spintex L,+12.33
Nihar Info Global Lt,+12.22
Shahlon Silk Indust,+12.21
Shilchar Technologie,+12.17
Trescon L,+12.15
NTC Industries,+12.07
CIL Securities L,+12.05
Shyam Century Ferro,+12.04
Radhe Developers,+11.87
OCL Iron & Steel,+11.84
