Company,% Change
Morganite Crucible (,-52.38
Benara Bearings,-33.13
Somi Conveyor Beltin,-30.64
GlobalSpace Techno,-25.59
Patel Integrated Log,-23.94
Hindustan Aeronautic,-23.91
Dynamic Industri,-23.33
NDR Auto Components,-22.57
Goldstone Tech,-22.44
RattanIndia Infra,-22.41
Amines & Plast.,-22.39
MPDL,-22.39
Hindusthan Urban Inf,-22.32
Ishaan Infrastru,-22.12
Biofil Chemicals,-21.51
RattanIndia Power,-21.16
Cupid Ltd.,-21.03
Samrat Pharma,-20.51
Vikas Ecotech L,-20.27
PSL Ltd.,-20.22
Resonance Spec.,-20.2
BLS International Se,-20.18
Remsons Industri,-20.09
Sybly Industries Ltd,-20.0
Sadbhav Infrastructu,-19.71
Trident Texofab,-19.59
Tyche Industries,-19.48
GPT Infraprojects,-19.32
Omax Auto,-18.97
Shree Ajit Pulp,-18.92
Va Tech Wabag Ltd.,-18.57
Investment & Pre,-18.36
Everest Organics,-18.33
IM+ Capitals,-18.32
ACCEL L,-18.22
Jaiprakash Power Ven,-18.18
RTS Power Corpor,-17.96
Looks Health Service,-17.92
Basant Agro Tech,-17.85
Lehar Footwears,-17.82
Rodium Realty L,-17.65
Megastar Foods,-17.5
Vallabh Poly-Pla,-17.39
Vivo Bio Tech Ltd.,-17.36
Cella Space Ltd.,-17.31
JVL Agro Industries,-17.24
Mirc Electronics,-16.99
Sumedha Fiscal S,-16.82
Genus Prime Infra Lt,-16.76
Darshan Orna,-16.73
Jyoti Resins & A,-16.66
Asahi Songwon Colors,-16.57
Kanpur Plasti.,-16.51
Anupam Finserv,-16.4
Intense Technologies,-16.39
Virinchi L,-16.38
Selan Exploratio,-16.34
Decipher Labs,-16.24
Kothari Ferment.,-16.24
IFGL Refractories,-15.97
Lotus Eye Hospital,-15.95
Seasons Furnishi,-15.92
Indbank Merchant,-15.89
Hexa Tradex Ltd.,-15.88
Music Broadcast,-15.82
Bambino Agro Ind,-15.76
Kamanwala Housing Co,-15.75
Thomas Cook (I),-15.65
Duroply lndustries L,-15.47
Maharashtra Corp,-15.38
Grand Foundry,-15.34
Ram Ratna Wires,-15.3
Sintex Industrie,-15.29
TPL Plastech Ltd.,-15.29
Lambodhara Texti,-15.25
Websol Energy System,-15.25
CeejayFinance,-15.23
Allied Digital Servi,-15.2
AGC Networks,-15.19
CESC Ventures,-15.19
Cambridge Technology,-15.17
Kiran Vyapar,-15.09
Rana Sugars,-15.08
Narayani Steels,-15.0
JaiprakashAssociates,-14.99
Gujarat Narmada Vall,-14.94
IB Infotech,-14.89
Emmbi Industries,-14.87
Alok Industries Ltd.,-14.83
Athena Global Techno,-14.81
Haldyn Glass,-14.8
JK Agri Genetics Ltd,-14.75
Freshtrop Fruits,-14.71
Rexnord Electron,-14.69
Fluidomat,-14.66
Integra Engineering,-14.66
Zen Technologies Ltd,-14.63
Titan Biotech Ltd.,-14.54
Birla Cable,-14.5
Take Solutions Ltd.,-14.49
Radhagobind Commerci,-14.47
Aarey Drugs & Ph,-14.45
Lykis L,-14.44
Aarti Drugs Ltd,-14.43
Wanbury,-14.42
Modi Naturals,-14.37
Mahavir Industries,-14.29
Munjal Showa Ltd,-14.27
CMI L,-14.26
JR Foods Ltd,-14.25
Rama Paper Mills,-14.25
Dolat Investment,-14.17
Uniply Decor,-14.17
Dynamatic Techno,-14.13
Shilp Gravures L,-14.12
MSR India,-14.1
Almondz Global Secur,-14.01
